episode,score
0,32.0
1,54.0
2,18.0
3,5.0
4,22.0
5,6.0
6,39.0
7,80.0
8,15.0
9,151.0
10,11.0
11,6.0
12,2.0
13,151.0
14,9.0
15,24.0
16,102.0
17,90.0
18,13.0
19,39.0
20,49.0
21,21.0
22,49.0
23,18.0
24,57.0
25,151.0
26,105.0
27,24.0
28,151.0
29,40.0
30,42.0
31,18.0
32,81.0
33,3.0
34,151.0
35,26.0
36,9.0
37,2.0
38,99.0
39,94.0
40,6.0
41,151.0
42,1.0
43,30.0
44,36.0
45,111.0
46,30.0
47,79.0
48,21.0
49,48.0
50,1.0
51,151.0
52,59.0
53,13.0
54,12.0
55,151.0
56,39.0
57,38.0
58,62.0
59,5.0
60,38.0
61,151.0
62,50.0
63,12.0
64,135.0
65,54.0
66,55.0
67,29.0
68,24.0
69,45.0
70,148.0
71,1.0
72,54.0
73,26.0
74,3.0
75,133.0
76,27.0
77,74.0
78,45.0
79,63.0
80,108.0
81,51.0
82,1.0
83,74.0
84,86.0
85,79.0
86,9.0
87,151.0
88,9.0
89,72.0
90,12.0
91,13.0
92,2.0
93,66.0
94,72.0
95,24.0
96,107.0
97,105.0
98,42.0
99,50.0
100,18.0
101,22.0
102,28.0
103,66.0
104,136.0
105,44.0
106,30.0
107,142.0
108,14.0
109,30.0
110,24.0
111,50.0
112,12.0
113,87.0
114,25.0
115,6.0
116,28.0
117,110.0
118,92.0
119,21.0
120,24.0
121,44.0
122,45.0
123,9.0
124,36.0
125,105.0
126,41.0
127,92.0
128,7.0
129,24.0
130,9.0
131,12.0
132,27.0
133,10.0
134,66.0
135,43.0
136,9.0
137,57.0
138,4.0
139,39.0
140,21.0
141,91.0
142,15.0
143,54.0
144,19.0
145,151.0
146,42.0
147,3.0
148,65.0
149,18.0
150,8.0
151,50.0
152,151.0
153,3.0
154,49.0
155,68.0
156,5.0
157,81.0
158,68.0
159,21.0
160,33.0
161,40.0
162,78.0
163,92.0
164,57.0
165,51.0
166,108.0
167,36.0
168,24.0
169,17.0
170,9.0
171,78.0
172,42.0
173,5.0
174,46.0
175,150.0
176,33.0
177,20.0
178,9.0
179,70.0
180,12.0
181,127.0
182,3.0
183,4.0
184,6.0
185,81.0
186,18.0
187,151.0
188,84.0
189,40.0
190,114.0
191,50.0
192,64.0
193,90.0
194,19.0
195,26.0
196,69.0
197,151.0
198,35.0
199,4.0
